Image Name,Channel,Spot Name,Signal,Total,Area,Bkgnd.,Type
0001205_02,Chemi,K13,8353.78125,10021.28125,145,11.5,Signal
0001205_02,Chemi,K14,25996.625,27664.125,145,11.5,Signal
0001205_02,Chemi,K15,1372.640625,3040.140625,145,11.5,Signal
0001205_02,Chemi,K16,31272.5,32940,145,11.5,Signal
0001205_02,Chemi,K17,860.703125,2528.203125,145,11.5,Signal
0001205_02,Chemi,K18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,L01,13118.9375,14786.4375,145,11.5,Signal
0001205_02,Chemi,L02,30384.875,32052.375,145,11.5,Signal
0001205_02,Chemi,L03,32063,33730.5,145,11.5,Signal
0001205_02,Chemi,L04,18959.8125,20627.3125,145,11.5,Signal
0001205_02,Chemi,L05,34846.125,36513.625,145,11.5,Signal
0001205_02,Chemi,L06,3494.875,5162.375,145,11.5,Signal
0001205_02,Chemi,L07,10352.625,12020.125,145,11.5,Signal
0001205_02,Chemi,L08,1970.984375,3638.484375,145,11.5,Signal
0001205_02,Chemi,L09,5186.625,6854.125,145,11.5,Signal
0001205_02,Chemi,L10,53361.75,55029.25,145,11.5,Signal
0001205_02,Chemi,L11,4742.640625,6410.140625,145,11.5,Signal
0001205_02,Chemi,L12,1524.125,3191.625,145,11.5,Signal
0001205_02,Chemi,L13,8127.71875,9795.21875,145,11.5,Signal
0001205_02,Chemi,L14,859.515625,2527.015625,145,11.5,Signal
0001205_02,Chemi,L15,857.84375,2525.34375,145,11.5,Signal
0001205_02,Chemi,L16,33061.375,34728.875,145,11.5,Signal
0001205_02,Chemi,L17,1060.226563,2727.726563,145,11.5,Signal
0001205_02,Chemi,L18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,M01,13551.3125,15218.8125,145,11.5,Signal
0001205_02,Chemi,M02,13477.5625,15145.0625,145,11.5,Signal
0001205_02,Chemi,M03,16548.1875,18215.6875,145,11.5,Signal
0001205_02,Chemi,M04,41244.5,42912,145,11.5,Signal
0001205_02,Chemi,M05,29843,31510.5,145,11.5,Signal
0001205_02,Chemi,M06,13746.875,15414.375,145,11.5,Signal
0001205_02,Chemi,M07,30395.375,32062.875,145,11.5,Signal
0001205_02,Chemi,M08,12489,14156.5,145,11.5,Signal
0001205_02,Chemi,M09,27584.5,29252,145,11.5,Signal
0001205_02,Chemi,M10,13432.5,15100,145,11.5,Signal
0001205_02,Chemi,M11,31636.25,33303.75,145,11.5,Signal
0001205_02,Chemi,M12,3223.53125,4891.03125,145,11.5,Signal
0001205_02,Chemi,M13,14609.125,16276.625,145,11.5,Signal
0001205_02,Chemi,M14,233.125,1900.625,145,11.5,Signal
0001205_02,Chemi,M15,43.59375,1711.09375,145,11.5,Signal
0001205_02,Chemi,M16,7850.3125,9517.8125,145,11.5,Signal
0001205_02,Chemi,M17,254.65625,1922.15625,145,11.5,Signal
0001205_02,Chemi,M18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,N01,21480.5,23148,145,11.5,Signal
0001205_02,Chemi,N02,15515.625,17183.125,145,11.5,Signal
0001205_02,Chemi,N03,36852.625,38520.125,145,11.5,Signal
0001205_02,Chemi,N04,25815.8125,27483.3125,145,11.5,Signal
0001205_02,Chemi,N05,28934.375,30601.875,145,11.5,Signal
0001205_02,Chemi,N06,4594.09375,6261.59375,145,11.5,Signal
0001205_02,Chemi,N07,17004.1875,18671.6875,145,11.5,Signal
0001205_02,Chemi,N08,3311.71875,4979.21875,145,11.5,Signal
0001205_02,Chemi,N09,15823.5625,17491.0625,145,11.5,Signal
0001205_02,Chemi,N10,48488.375,50155.875,145,11.5,Signal
0001205_02,Chemi,N11,38637.75,40305.25,145,11.5,Signal
0001205_02,Chemi,N12,1694.90625,3362.40625,145,11.5,Signal
0001205_02,Chemi,N13,1043.1875,2710.6875,145,11.5,Signal
0001205_02,Chemi,N14,2571.640625,4239.140625,145,11.5,Signal
0001205_02,Chemi,N15,4409.515625,6077.015625,145,11.5,Signal
0001205_02,Chemi,N16,26827.75,28495.25,145,11.5,Signal
0001205_02,Chemi,N17,18485.4375,20152.9375,145,11.5,Signal
0001205_02,Chemi,N18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,O01,22634,24301.5,145,11.5,Signal
0001205_02,Chemi,O02,23469,25136.5,145,11.5,Signal
0001205_02,Chemi,O03,36433,38100.5,145,11.5,Signal
0001205_02,Chemi,O04,46426.125,48093.625,145,11.5,Signal
0001205_02,Chemi,O05,45876.875,47544.375,145,11.5,Signal
0001205_02,Chemi,O06,7104.34375,8771.84375,145,11.5,Signal
0001205_02,Chemi,O07,25893,27560.5,145,11.5,Signal
0001205_02,Chemi,O08,5767.71875,7435.21875,145,11.5,Signal
0001205_02,Chemi,O09,23353.25,25020.75,145,11.5,Signal
0001205_02,Chemi,O10,50677.25,52344.75,145,11.5,Signal
0001205_02,Chemi,O11,5654.03125,7321.53125,145,11.5,Signal
0001205_02,Chemi,O12,3889.21875,5556.71875,145,11.5,Signal
0001205_02,Chemi,O13,10886.75,12554.25,145,11.5,Signal
0001205_02,Chemi,O14,23.3671875,1690.867188,145,11.5,Signal
0001205_02,Chemi,O15,81.390625,1748.890625,145,11.5,Signal
0001205_02,Chemi,O16,14525.9375,16193.4375,145,11.5,Signal
0001205_02,Chemi,O17,18903.75,20571.25,145,11.5,Signal
0001205_02,Chemi,O18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,P01,26676.75,28344.25,145,11.5,Signal
0001205_02,Chemi,P02,23376.375,25043.875,145,11.5,Signal
0001205_02,Chemi,P03,38105.375,39772.875,145,11.5,Signal
0001205_02,Chemi,P04,43333.5,45001,145,11.5,Signal
0001205_02,Chemi,P05,45751.75,47419.25,145,11.5,Signal
0001205_02,Chemi,P06,10270.875,11938.375,145,11.5,Signal
0001205_02,Chemi,P07,19487.6875,21155.1875,145,11.5,Signal
0001205_02,Chemi,P08,10187.9375,11855.4375,145,11.5,Signal
0001205_02,Chemi,P09,13206.6875,14874.1875,145,11.5,Signal
0001205_02,Chemi,P10,49453.75,51121.25,145,11.5,Signal
0001205_02,Chemi,P11,36749.375,38416.875,145,11.5,Signal
0001205_02,Chemi,P12,2797.203125,4464.703125,145,11.5,Signal
0001205_02,Chemi,P13,7679.21875,9346.71875,145,11.5,Signal
0001205_02,Chemi,P14,2.4765625,1669.976563,145,11.5,Signal
0001205_02,Chemi,P15,832.328125,2499.828125,145,11.5,Signal
0001205_02,Chemi,P16,23441.75,25109.25,145,11.5,Signal
0001205_02,Chemi,P17,478.4765625,2145.976563,145,11.5,Signal
0001205_02,Chemi,P18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,Q01,26233.375,27900.875,145,11.5,Signal
0001205_02,Chemi,Q02,22318.25,23985.75,145,11.5,Signal
0001205_02,Chemi,Q03,48027.75,49695.25,145,11.5,Signal
0001205_02,Chemi,Q04,41169.75,42837.25,145,11.5,Signal
0001205_02,Chemi,Q05,41015.375,42682.875,145,11.5,Signal
0001205_02,Chemi,Q06,8253.25,9920.75,145,11.5,Signal
0001205_02,Chemi,Q07,24528.75,26196.25,145,11.5,Signal
0001205_02,Chemi,Q08,6683.09375,8350.59375,145,11.5,Signal
0001205_02,Chemi,Q09,11742.875,13410.375,145,11.5,Signal
0001205_02,Chemi,Q10,27604.875,29272.375,145,11.5,Signal
0001205_02,Chemi,Q11,44923.625,46591.125,145,11.5,Signal
0001205_02,Chemi,Q12,3187.765625,4855.265625,145,11.5,Signal
0001205_02,Chemi,Q13,6504.6875,8172.1875,145,11.5,Signal
0001205_02,Chemi,Q14,1830.203125,3497.703125,145,11.5,Signal
0001205_02,Chemi,Q15,369.6953125,2037.195313,145,11.5,Signal
0001205_02,Chemi,Q16,24879.5625,26547.0625,145,11.5,Signal
0001205_02,Chemi,Q17,129.5546875,1797.054688,145,11.5,Signal
0001205_02,Chemi,Q18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,R01,21022.75,22690.25,145,11.5,Signal
0001205_02,Chemi,R02,17799.9375,19467.4375,145,11.5,Signal
0001205_02,Chemi,R03,39483.5,41151,145,11.5,Signal
0001205_02,Chemi,R04,30234.25,31901.75,145,11.5,Signal
0001205_02,Chemi,R05,45216.5,46884,145,11.5,Signal
0001205_02,Chemi,R06,3502.0625,5169.5625,145,11.5,Signal
0001205_02,Chemi,R07,12975.0625,14642.5625,145,11.5,Signal
0001205_02,Chemi,R08,1970.0625,3637.5625,145,11.5,Signal
0001205_02,Chemi,R09,4340.984375,6008.484375,145,11.5,Signal
0001205_02,Chemi,R10,33404.25,35071.75,145,11.5,Signal
0001205_02,Chemi,R11,20118.375,21785.875,145,11.5,Signal
0001205_02,Chemi,R12,1004.757813,2672.257813,145,11.5,Signal
0001205_02,Chemi,R13,422.9921875,2090.492188,145,11.5,Signal
0001205_02,Chemi,R14,0,1667.5,145,11.5,Signal
0001205_02,Chemi,R15,92.09375,1759.59375,145,11.5,Signal
0001205_02,Chemi,R16,12137.96875,13805.46875,145,11.5,Signal
0001205_02,Chemi,R17,491.4140625,2158.914063,145,11.5,Signal
0001205_02,Chemi,R18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,S01,23894.375,25561.875,145,11.5,Signal
0001205_02,Chemi,S02,18501.5,20169,145,11.5,Signal
0001205_02,Chemi,S03,33986.625,35654.125,145,11.5,Signal
0001205_02,Chemi,S04,29203.25,30870.75,145,11.5,Signal
0001205_02,Chemi,S05,39978.875,41646.375,145,11.5,Signal
0001205_02,Chemi,S06,4286.78125,5954.28125,145,11.5,Signal
0001205_02,Chemi,S07,17994.125,19661.625,145,11.5,Signal
0001205_02,Chemi,S08,1891.703125,3559.203125,145,11.5,Signal
0001205_02,Chemi,S09,5327.71875,6995.21875,145,11.5,Signal
0001205_02,Chemi,S10,32852.5,34520,145,11.5,Signal
0001205_02,Chemi,S11,29083.25,30750.75,145,11.5,Signal
0001205_02,Chemi,S12,1207.5625,2875.0625,145,11.5,Signal
0001205_02,Chemi,S13,900.9453125,2568.445313,145,11.5,Signal
0001205_02,Chemi,S14,8409.21875,10076.71875,145,11.5,Signal
0001205_02,Chemi,S15,304.640625,1972.140625,145,11.5,Signal
0001205_02,Chemi,S16,26827.5,28495,145,11.5,Signal
0001205_02,Chemi,S17,483.09375,2150.59375,145,11.5,Signal
0001205_02,Chemi,S18,0,1667.5,145,11.5,Signal
0001205_02,Chemi,T01,33257.5,34925,145,11.5,Signal
0001205_02,Chemi,T02,20354.1875,22021.6875,145,11.5,Signal
0001205_02,Chemi,T03,39776,41443.5,145,11.5,Signal
0001205_02,Chemi,T04,33380.625,35048.125,145,11.5,Signal
0001205_02,Chemi,T05,23417.5,25085,145,11.5,Signal
0001205_02,Chemi,T06,4760.375,6427.875,145,11.5,Signal
0001205_02,Chemi,T07,20614.75,22282.25,145,11.5,Signal
